300,0.93,0.02,0.02,0.03,0.04
305,1.13,1.03,1.05,1.66,2.59
310,1.36,2.05,2.07,3.29,5.13
315,1.62,4.91,6.65,11.77,17.47
320,1.93,7.78,11.22,20.2,29.8
325,2.27,11.26,15.94,28.64,42.37
330,2.66,14.75,20.65,37.05,54.93
335,3.1,16.35,22.27,38.5,56.09
340,3.59,17.95,23.88,39.95,57.26
345,4.14,19.48,25.85,42.43,60
350,4.74,21.01,27.82,44.91,62.74
355,5.41,22.48,29.22,45.78,62.86
360,6.14,23.94,30.62,46.64,62.98
365,6.95,25.45,32.46,49.36,66.65
370,7.82,26.96,34.31,52.09,70.31
375,8.77,25.72,33.45,51.03,68.51
380,9.8,24.5,32.58,49.98,66.65
385,10.9,27.2,35.34,52.31,68.28
390,12.09,29.8,38.09,54.65,69.91
395,13.35,39.6,49.52,68.7,85.89
400,14.71,49.3,60.95,82.75,101.87
405,16.15,52.9,64.75,87.12,106.85
410,17.68,56.5,68.55,91.49,111.83
415,19.29,58.3,70.07,92.46,112.28
420,20.99,60,71.58,93.43,112.74
425,22.79,58.9,69.75,90.06,107.89
430,24.67,57.8,67.91,86.68,103.04
435,26.64,66.3,76.76,95.77,112.09
440,28.7,74.8,85.61,104.86,121.15
445,30.85,81,91.8,110.94,127.05
450,33.09,87.2,97.99,117.01,132.96
455,35.41,88.9,99.23,117.41,132.63
460,37.81,90.6,100.46,117.81,132.31
465,40.3,91,100.19,116.34,129.8
470,42.87,91.4,99.91,114.86,127.28
475,45.52,93.3,101.33,115.39,127.02
480,48.24,95.2,102.74,115.92,126.76
485,51.04,93.6,100.41,112.37,122.26
490,53.91,92,98.08,108.81,117.75
495,56.85,93.9,99.38,109.08,117.16
500,59.86,95.7,100.68,109.35,116.57
505,62.93,96.2,100.69,108.58,115.12
510,66.06,96.6,100.7,107.8,113.68
515,69.25,96.9,100.34,106.3,111.16
520,72.5,97.1,99.99,104.79,108.65
525,75.79,99.6,102.1,106.24,109.54
530,79.13,102.1,104.21,107.69,110.44
535,82.52,101.5,103.16,106.05,108.36
540,85.95,100.8,102.1,104.41,106.28
545,89.41,101.6,102.53,104.23,105.59
550,92.91,102.3,102.97,104.05,104.9
555,96.44,101.2,101.48,102.02,102.45
560,100,100,100,100,100
565,103.58,98.9,98.61,98.17,97.81
570,107.18,97.7,97.22,96.33,95.62
575,110.8,98.3,97.48,96.06,94.92
580,114.44,98.9,97.75,95.79,94.22
585,118.08,96.2,94.59,92.24,90.61
590,121.73,93.5,91.43,88.69,87
595,125.39,95.6,92.93,89.35,87.12
600,129.04,97.7,94.42,90.01,87.24
605,132.7,98.5,94.78,89.8,86.69
610,136.35,99.3,95.14,89.6,86.15
615,139.99,99.2,94.68,88.65,84.87
620,143.62,99,94.22,87.7,83.59
625,147.24,97.4,92.33,85.49,81.18
630,150.84,95.7,90.45,83.29,78.76
635,154.42,97.3,91.39,83.49,78.6
640,157.98,98.8,92.33,83.7,78.44
645,161.52,97.3,90.59,81.86,76.63
650,165.03,95.7,88.85,80.03,74.82
655,168.51,97,89.59,80.12,74.58
660,171.96,98.2,90.32,80.21,74.34
665,175.38,100.6,92.13,81.25,74.89
670,178.77,103,93.95,82.28,75.44
675,182.12,101.1,91.95,80.28,73.52
680,185.43,99.1,89.96,78.28,71.6
685,188.7,93.3,84.82,74,67.73
690,191.93,87.4,79.68,69.72,63.87
695,195.12,89.5,81.26,70.67,64.48
700,198.26,91.6,82.84,71.61,65.1
705,201.36,92.3,83.84,72.98,66.59
710,204.41,92.9,84.84,74.35,68.09
715,207.41,84.9,77.54,67.98,62.27
720,210.36,76.8,70.24,61.6,56.46
725,213.27,81.7,74.77,65.74,60.36
730,216.12,86.6,79.3,69.89,64.26
735,218.92,89.6,82.15,72.49,66.71
740,221.67,92.6,84.99,75.09,69.17
745,224.36,85.4,78.44,69.34,63.91
750,227,78.2,71.88,63.59,58.64
755,229.59,68,62.34,55.01,50.64
760,232.12,57.7,52.79,46.42,42.63
765,234.59,70.3,64.36,56.61,52
770,237.01,82.9,75.93,66.81,61.37
775,239.37,80.6,73.87,65.09,59.85
780,241.68,78.3,71.82,63.38,58.34
785,243.92,78.91,72.38,63.84,58.73
790,246.12,79.55,72.94,64.3,59.14
795,248.25,76.48,70.14,61.88,56.94
800,250.33,73.4,67.35,59.45,54.73
805,252.35,68.66,63.04,55.71,51.32
810,254.31,63.92,58.73,51.96,47.92
815,256.22,67.35,61.86,54.7,50.42
820,258.07,70.78,64.99,57.44,52.92
825,259.86,72.61,66.65,58.88,54.23
830,261.6,74.44,68.31,60.31,55.54
